Country/Territory,Country/Territory,All countries/territories,All countries/territories,All countries/territories,The mainland of China,The mainland of China,The mainland of China,Singapore,Singapore,Singapore,United States of America,United States of America,United States of America,United Kingdom,United Kingdom,United Kingdom,Bermuda,Bermuda,Bermuda,British Virgin Islands,British Virgin Islands,British Virgin Islands,Cayman Islands*,Cayman Islands*,Cayman Islands*,Other countries/territories,Other countries/territories,Other countries/territories
External primary income flows,External primary income flows,Inflow,Outflow,Net flow,Inflow,Outflow,Net flow,Inflow,Outflow,Net flow,Inflow,Outflow,Net flow,Inflow,Outflow,Net flow,Inflow,Outflow,Net flow,Inflow,Outflow,Net flow,Inflow,Outflow,Net flow,Inflow,Outflow,Net flow
    Year,Quarter,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million
1999,4,101239,93487,7752,10747,13740,-2993,6139,5160,980,9235,11685,-2450,9942,9318,624,4422,7057,-2635,22688,11350,11338,1866,2347,-481,36201,32830,3371
2000,1,108087,103100,4987,15182,14479,703,7548,7024,525,10235,11792,-1557,11683,6836,4847,3135,6605,-3470,21399,15542,5857,1819,3684,-1866,37085,37138,-53
2000,2,111129,104135,6994,15368,12643,2725,7012,5787,1225,10477,11738,-1261,10179,11488,-1309,3922,6220,-2297,21576,13345,8231,2078,3190,-1112,40517,39724,793
2000,3,105310,104027,1283,15700,15994,-294,6389,6418,-29,12223,14192,-1969,14715,8567,6148,3036,8027,-4991,16766,11801,4965,2239,3200,-960,34243,35829,-1586
2000,4,102557,105075,-2519,15556,14506,1050,6823,5078,1745,13262,14716,-1454,11092,6987,4106,4033,6926,-2893,14058,13415,643,2343,3803,-1460,35388,39643,-4255
2001,1,97252,86527,10725,15112,14900,212,5033,3926,1107,13288,11247,2041,13543,4015,9528,850,4895,-4045,19278,16176,3102,1864,1316,548,28284,30052,-1768
2001,2,107138,104532,2606,21842,19058,2783,4257,3673,584,13024,15315,-2292,9482,8014,1468,1687,5514,-3827,24393,17366,7027,3068,2831,237,29386,32760,-3374
2001,3,97494,85001,12493,20206,17766,2440,2926,3438,-512,11747,8667,3080,11498,6300,5199,2631,3191,-560,21809,16190,5619,2020,1510,510,24656,27940,-3284
2001,4,75194,70564,4629,15945,13157,2788,2913,2242,670,11502,8289,3213,5031,5812,-780,3534,4485,-951,12111,14071,-1960,2640,2646,-6,21518,19863,1655
2002,1,80085,74528,5556,18101,13367,4734,2569,2626,-57,10554,7723,2830,8715,4935,3780,1372,2357,-986,17813,13028,4784,660,2022,-1362,20301,28469,-8168
2002,2,80327,83644,-3317,19960,13646,6314,2338,3295,-957,9980,10656,-676,4673,8252,-3579,2763,3352,-589,17777,14620,3157,3107,3490,-384,19729,26332,-6603
2002,3,89132,86689,2444,21832,18179,3653,2444,3626,-1182,9358,9887,-530,7399,6054,1345,3464,2975,490,23789,17844,5945,2137,1651,486,18709,26473,-7763
2002,4,77318,73611,3707,16585,17329,-744,3114,1945,1169,8908,12292,-3384,4278,4646,-368,2850,42,2807,20629,13458,7171,1231,1919,-689,19723,21980,-2257
2003,1,84451,63558,20894,23555,13815,9741,2553,1872,680,8388,8820,-432,8711,3407,5305,1490,3212,-1722,19102,14407,4695,1215,1327,-111,19437,16699,2738
2003,2,85451,84867,584,20122,16425,3697,2188,2399,-210,8293,11556,-3263,3973,7405,-3432,4099,3935,164,24597,15228,9369,2610,2000,610,19567,25917,-6350
2003,3,85891,79614,6277,22684,15459,7225,1620,2689,-1069,8569,9189,-619,7231,5798,1433,2446,4430,-1984,23765,17658,6108,764,1771,-1007,18811,22621,-3809
2003,4,84607,80136,4471,17820,12000,5820,1799,383,1415,8180,12383,-4203,5599,4707,891,5721,4507,1214,25162,16840,8323,1396,4067,-2672,18931,25248,-6317
2004,1,95421,91853,3568,26333,20039,6294,2392,3306,-914,9214,8212,1003,8568,3879,4689,2518,3578,-1059,22099,22710,-611,2302,2166,136,21994,27964,-5969
2004,2,97559,98741,-1182,27473,19564,7909,3072,3795,-723,9906,13569,-3663,7483,8433,-951,3900,3676,223,21934,18050,3884,1898,4143,-2245,21894,27510,-5616
2004,3,104273,89213,15060,30256,20641,9615,3220,5006,-1786,9666,4363,5303,9545,5975,3569,4249,5376,-1127,22794,19172,3622,1919,1908,11,22625,26773,-4148
2004,4,112969,102438,10532,29605,26280,3325,5315,4916,398,10315,12785,-2471,12972,6382,6590,4905,5952,-1047,22866,15941,6925,1978,2577,-599,25014,27604,-2590
2005,1,115459,99785,15674,28674,24082,4592,5674,4946,727,10088,9073,1015,12866,5347,7519,4489,8338,-3849,24247,16512,7735,1506,3287,-1781,27916,28200,-284
2005,2,133573,124469,9103,36218,26067,10151,6171,6502,-330,12981,16377,-3397,8772,9682,-910,6737,7185,-449,34811,21049,13762,2442,3136,-694,25440,34471,-9031
2005,3,123898,135905,-12007,30750,28694,2056,5231,6888,-1657,13754,17710,-3956,9232,8671,561,6641,7012,-371,27292,25044,2248,4012,3031,981,26987,38855,-11869
2005,4,137425,142732,-5307,39505,34477,5028,7657,7317,340,14210,12682,1528,10158,6576,3582,6666,8282,-1615,26860,28025,-1165,3568,2425,1143,28801,42949,-14147
2006,1,143839,128915,14924,40601,34494,6106,6305,6754,-449,16487,9284,7203,13728,6156,7572,5200,6904,-1704,25227,23151,2077,3494,2517,977,32797,39655,-6858
2006,2,168442,169338,-896,51611,38395,13216,7366,8494,-1128,17218,19071,-1853,11324,13935,-2611,6058,7718,-1661,30104,27089,3015,5669,3555,2113,39092,51079,-11988
2006,3,164160,150621,13539,47964,33538,14425,7083,7555,-472,17742,15257,2485,11536,9896,1640,6687,10262,-3575,34469,27088,7381,515,2874,-2358,38164,44152,-5988
2006,4,183510,175563,7947,43736,39963,3773,7751,8457,-707,18226,15315,2911,12294,9943,2352,7410,7764,-353,43038,42195,843,6073,3103,2969,44983,48824,-3841
2007,1,190618,160505,30112,54200,41184,13016,10072,8304,1768,17543,11199,6344,18820,9459,9361,4350,4812,-462,36886,34581,2305,2463,2856,-393,46283,48111,-1828
2007,2,225926,217012,8914,64054,50716,13337,9316,9974,-657,19300,22914,-3614,15005,19935,-4930,9545,7385,2160,53275,38787,14488,7683,5693,1990,47749,61608,-13859
2007,3,229949,222044,7905,69510,53349,16161,11331,11936,-605,20358,21528,-1170,16186,17098,-913,6569,8874,-2304,57062,41173,15889,1222,3778,-2555,47711,64308,-16597
2007,4,256722,250842,5880,72642,58974,13669,16647,13088,3559,20874,34520,-13646,20374,14285,6089,8536,7576,960,43452,51341,-7890,20034,7684,12349,54163,63374,-9211
2008,1,228088,207819,20269,72237,60435,11802,7454,11156,-3702,18098,13442,4656,18703,12550,6153,6739,5975,764,48043,45980,2063,5574,2811,2763,51241,55470,-4229
2008,2,271912,252127,19785,98285,65598,32687,7528,10380,-2852,17437,28129,-10692,11733,17877,-6145,10257,5706,4551,65342,57796,7546,10945,3857,7088,50386,62785,-12398
2008,3,240622,209161,31461,81364,57003,24361,8947,9273,-325,21016,21496,-481,14357,11258,3099,7486,6764,722,54451,48432,6019,5624,3292,2332,47376,51643,-4267
2008,4,200317,171324,28992,80984,50659,30325,5317,7761,-2444,15887,13790,2097,11192,8502,2690,7290,11935,-4645,44911,42034,2876,1876,95,1782,32859,36547,-3688
2009,1,161681,144481,17199,61663,43205,18458,4781,5725,-944,13908,7138,6769,7874,4775,3099,4270,6196,-1926,41762,44547,-2785,1655,2789,-1134,25768,30105,-4337
2009,2,227413,202357,25057,87464,53235,34229,3703,6492,-2788,12984,17760,-4776,8138,13511,-5372,6235,13132,-6897,69449,56992,12457,11551,3227,8323,27889,38007,-10118
2009,3,191316,189571,1744,76848,49513,27335,3496,4526,-1030,11333,16364,-5031,7249,10826,-3578,6306,16866,-10560,56604,46174,10430,4471,3842,629,25010,41461,-16451
2009,4,206805,201044,5762,77445,58876,18569,2007,5826,-3819,10782,14476,-3694,4502,9207,-4705,11367,9953,1415,63639,53300,10339,5052,5130,-78,32012,44277,-12265
2010,1,190092,170559,19533,73462,50475,22987,3572,4237,-665,10652,9007,1645,7584,7010,574,6332,8533,-2201,54677,44680,9996,6676,5347,1330,27137,41270,-14133
2010,2,248513,240446,8067,105054,69255,35799,3004,8327,-5324,10504,19254,-8750,6783,15480,-8697,12152,12253,-102,71802,55129,16673,13624,7816,5808,25590,52931,-27341
2010,3,227351,223585,3766,82277,68208,14069,3847,6504,-2657,11063,14696,-3632,6644,12911,-6267,11331,14322,-2991,77839,56962,20876,6684,6098,587,27666,43885,-16219
2010,4,263785,257555,6231,98335,77870,20465,6422,6699,-277,10943,9643,1300,3473,8544,-5071,15281,15450,-169,81011,73808,7203,12590,9330,3259,35731,56210,-20479
2011,1,234453,209740,24713,90008,59460,30548,3622,5435,-1813,11012,9065,1947,8529,4717,3812,11731,12898,-1167,77216,60263,16953,3943,7459,-3516,28391,50443,-22052
2011,2,311023,284517,26506,137608,81695,55913,3524,7903,-4379,10460,22749,-12290,7650,14319,-6669,12282,11982,300,84533,78914,5619,21115,7312,13803,33851,59642,-25791
2011,3,242877,241716,1161,104283,65142,39141,3376,7624,-4248,9883,23598,-13715,7517,12846,-5329,10292,8179,2113,66498,61779,4719,9961,4864,5097,31066,57684,-26618
2011,4,270999,270553,446,100009,75795,24214,3972,7727,-3755,10520,19868,-9348,5922,7061,-1139,12523,21693,-9170,106372,72117,34255,4163,1250,2913,27517,65041,-37523
2012,1,241271,235388,5883,100247,65597,34650,4343,5591,-1248,9945,12581,-2636,8738,8936,-197,12976,19431,-6455,61919,60735,1184,8414,8897,-483,34689,53619,-18931
2012,2,312345,290520,21825,143367,81099,62268,4060,7646,-3585,10030,30014,-19984,6811,16729,-9918,18748,25852,-7104,76623,63604,13019,21819,5448,16372,30887,60129,-29242
2012,3,265175,264246,928,108357,70063,38294,4211,6845,-2635,10334,25830,-15496,6399,14268,-7868,17302,22972,-5670,78606,62479,16127,10500,3161,7339,29465,58628,-29163
2012,4,272444,271625,819,118541,72015,46527,4463,5481,-1018,9600,18910,-9310,4321,9813,-5492,18189,28613,-10423,84827,77063,7764,7561,6402,1158,24941,53328,-28387
2013,1,247189,236953,10236,108318,69092,39226,4584,5817,-1233,9999,12775,-2776,9482,5886,3596,11140,17154,-6014,60537,66487,-5950,7385,5368,2017,35744,54374,-18630
2013,2,352939,336123,16816,165546,87896,77650,4055,9415,-5360,10077,31608,-21530,8478,22405,-13927,16517,20201,-3684,91255,84343,6912,26795,6349,20446,30216,73906,-43690
2013,3,289207,288355,852,126287,80780,45507,5527,8850,-3323,9546,24546,-15000,7110,13868,-6758,19963,17672,2291,83284,76299,6985,8677,9725,-1049,28814,56616,-27801
2013,4,294232,281618,12615,126611,73110,53501,2585,8418,-5833,7352,16793,-9440,5436,9531,-4095,11781,17122,-5342,88658,81059,7599,16305,6286,10019,35504,69298,-33794
2014,1,264878,254188,10690,111540,75195,36345,4559,6952,-2393,9482,9325,157,9820,8855,966,9411,13187,-3776,71194,70883,311,11008,9789,1218,37865,60003,-22138
2014,2,368111,359235,8876,165128,102933,62195,5664,10553,-4889,9508,27187,-17679,6953,26482,-19529,15810,16161,-351,103653,88541,15111,30768,10036,20731,30628,77341,-46713
2014,3,322016,314969,7047,148607,78931,69677,7311,8944,-1633,9847,21242,-11396,6472,18131,-11659,8345,17946,-9601,89316,81925,7392,18053,7759,10294,34065,80092,-46027
2014,4,299727,279733,19993,132837,69601,63235,5238,7415,-2177,9945,15269,-5324,6289,10586,-4297,12883,22848,-9966,87916,85698,2217,13961,11491,2470,30659,56824,-26165
2015,1,304962,298057,6905,123055,73005,50051,3732,6629,-2897,10616,14150,-3534,21446,24236,-2790,8892,17145,-8252,93187,90739,2448,12866,10907,1959,31168,61245,-30078
2015,2,394032,364059,29973,197419,85793,111627,5317,10562,-5245,10373,29006,-18633,10722,26219,-15497,14518,12043,2474,82973,100184,-17211,29125,23405,5720,43585,76847,-33263
2015,3,301440,296799,4642,139905,73899,66006,4652,9095,-4443,11690,27770,-16081,10253,19406,-9153,9884,15838,-5953,75195,63262,11933,21276,19254,2022,28586,68275,-39689
2015,4,274023,271166,2857,113737,65188,48549,3222,9110,-5888,10895,16676,-5781,12549,10423,2126,9098,27995,-18897,78345,73688,4658,17010,10309,6700,29167,57777,-28610
2016,1,267980,249052,18929,122176,56696,65480,4870,6555,-1684,12994,15071,-2076,14747,8037,6710,2939,5977,-3038,59012,77206,-18193,13697,21905,-8208,37545,57606,-20062
2016,2,387305,354274,33031,184249,92517,91732,6197,9642,-3445,13908,32484,-18576,11451,21210,-9760,16380,12943,3436,77782,89819,-12037,31696,14812,16884,45642,80847,-35204
2016,3,321067,314968,6099,135335,65881,69454,4909,7212,-2304,12513,27519,-15006,10510,15148,-4638,15010,4458,10552,73167,81630,-8463,26999,18348,8652,42624,94772,-52148
2016,4,297181,292647,4535,116218,74645,41573,5317,12866,-7548,13608,18149,-4541,10506,13766,-3260,15149,18167,-3018,73174,56009,17166,16508,30038,-13530,46701,69008,-22307
2017,1,286950,267992,18958,123858,59295,64563,6162,10281,-4120,15149,17453,-2304,14310,11555,2754,9783,5525,4259,66192,66814,-622,15153,20163,-5010,36343,76906,-40563
2017,2,407762,355034,52728,160518,84385,76133,8365,8170,195,17762,31016,-13254,8386,21159,-12773,31713,25693,6020,77300,85818,-8518,52761,24466,28295,50956,74326,-23369
2017,3,375839,349896,25943,148930,87716,61214,4172,12563,-8392,18801,32033,-13232,9074,17284,-8210,24136,4584,19552,85798,88396,-2598,36520,22629,13891,48409,84691,-36283
2017,4,352114,334190,17923,131689,62948,68740,6121,11193,-5072,18902,20580,-1678,11065,14761,-3696,16308,18094,-1787,92108,96984,-4876,23912,25379,-1468,52010,84250,-32240
2018,1,347392,327491,19901,135182,80015,55167,5479,9598,-4119,22022,24039,-2017,14814,12601,2213,7750,7526,225,88309,92476,-4167,22070,17072,4999,51765,84165,-32400
2018,2,462691,408015,54676,174303,105933,68370,6011,13938,-7928,22911,41183,-18272,8971,24657,-15687,23116,13164,9951,97492,95296,2196,64845,19132,45713,65043,94712,-29669
2018,3,439664,397361,42303,176423,87683,88741,7144,16886,-9742,25281,38805,-13524,10038,18954,-8916,17835,15294,2541,86965,100574,-13609,34094,21193,12901,81883,97973,-16089
2018,4,380829,362894,17935,146906,80554,66352,7386,15183,-7797,24573,29241,-4668,11440,25419,-13979,12550,12337,213,76041,105406,-29365,24430,16737,7693,77504,78018,-515
2019,1,370916,350792,20124,138156,96002,42154,6301,9781,-3480,26978,28286,-1309,15779,30322,-14543,11513,6251,5262,81983,89685,-7702,19666,14759,4907,70540,75705,-5165
2019,2,481713,422658,59055,197179,109497,87683,9451,12884,-3433,25490,40870,-15380,11380,53288,-41908,20079,14170,5909,84564,90932,-6368,73720,30408,43311,59851,70610,-10758
2019,3,440725,401903,38822,183760,90997,92762,8726,12477,-3751,26217,44282,-18064,11404,37750,-26345,17077,16069,1008,101122,101572,-450,41794,27222,14572,50625,71535,-20909
2019,4,380475,354760,25716,149129,86418,62711,8430,15118,-6688,26024,30210,-4186,16972,34347,-17375,19147,8441,10705,74925,89573,-14648,22139,23239,-1100,63709,67414,-3704
2020,1,344145,328935,15211,161258,84755,76503,6876,19036,-12160,27291,23262,4029,5324,40095,-34771,7475,9680,-2205,81618,75836,5782,19826,18137,1689,34478,58135,-23658
2020,2,446965,383656,63308,174010,102815,71195,7661,9949,-2288,25101,40400,-15299,12183,50951,-38767,26646,4597,22050,77754,83674,-5920,77488,31549,45938,46121,59721,-13600
2020,3,406443,358977,47466,191870,87424,104446,3341,9434,-6093,21337,33971,-12633,2150,35575,-33424,20767,13459,7308,84735,82420,2315,43180,30888,12292,39065,65808,-26744
2020,4,347033,316936,30098,163862,82690,81172,8750,11701,-2951,19927,19215,712,484,30954,-30471,18925,13856,5070,75157,64141,11016,21966,31106,-9139,37962,63273,-25311
2021,1,336337,314802,21535,156089,81894,74194,7972,7639,333,18941,19219,-278,10689,12336,-1647,15957,23391,-7435,72600,88133,-15533,16652,16862,-210,37438,65326,-27888
2021,2,478667,394506,84160,212441,104819,107622,9451,7013,2438,17698,30133,-12436,4498,34312,-29814,21822,14503,7320,87921,98502,-10581,81712,29009,52704,43123,76215,-33092
2021,3,446838,383045,63792,208716,98575,110141,14176,11170,3006,18156,24236,-6080,-2377,23812,-26189,25836,20236,5600,101857,98314,3543,44355,33159,11197,36119,73545,-37425
2021,4,377805,342325,35480,175625,93054,82571,19509,10675,8834,17969,17769,200,2478,20530,-18052,19348,18215,1133,86588,88139,-1551,23590,23435,155,32698,70507,-37810
2022,1,358182,334936,23246,175391,87781,87610,8050,11986,-3936,15798,15139,659,12188,22579,-10391,16979,26828,-9849,74848,91283,-16435,16239,16687,-448,38689,62653,-23964
2022,2,503856,425841,78015,228563,124979,103585,6538,14450,-7912,21103,27251,-6149,12923,39819,-26896,31253,16778,14475,96415,117826,-21411,63604,19378,44225,43458,65360,-21902
Notes:,Figures in this table are the latest data released on 15 September 2022.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Statistics on EPIF from 2021 onwards are subject to revision when more data become available.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Individual figures may not add up to the total due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*,Figures were included in other countries/territories during 1995-1997.,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,Not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:,"Balance of Payments Section (2)2,",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Census and Statistics Department,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Enquiry telephone no.: 3903 7054,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Enquiry e-mail: gni@censtatd.gov.hk),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last revision date: 15 September, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,
